ma_hs,ho_ten,so_tien,lop
TH12345,Phạm Văn A,500000,1A
TH12346,Nguyễn Thị B,1200000,2A
TH12347,Trần Văn C,800000,2A
TH12348,Lê Thị D,1500000,1A
TH12349,Hoàng Văn E,300000,1B
TH12350,Đỗ Thị F,2000000,1C
TH12351,Vũ Văn G,900000,2C
TH12352,Bùi Thị H,1100000,2B
TH12353,Đinh Văn I,400000,2C
TH12354,Dương Thị K,1700000,1A
TH12355,Lý Văn L,600000,3B
TH12356,Mai Thị M,1300000,3A
TH12357,Cao Văn N,1000000,5A
TH12358,Phan Thị O,700000,5A
TH12359,Tô Văn P,1400000,4B
TH12360,Ngô Thị Q,200000,3A
TH12361,Trịnh Văn R,1800000,3B
TH12362,Hồ Thị S,1200000,4A
TH12363,Lương Văn T,500000,4B
TH12364,Võ Thị U,900000,4A
TH12365,Đặng Văn V,1600000,5B
TH12366,Bạch Thị W,300000,5A
TH12367,Chu Văn X,1100000,1B
TH12368,Hà Thị Y,800000,1C
TH12369,Kiều Văn Z,1500000,2A
TH12370,Lâm Thị An,400000,2B
TH12371,Mạc Văn Bình,1900000,2C
TH12372,Ninh Thị Chi,1000000,3A
TH12373,Ông Văn Dũng,600000,3B
TH12374,Phùng Thị Em,1300000,4A
TH12375,Quách Văn Phúc,700000,4B
TH12376,Sơn Thị Giang,1200000,5A
TH12377,Thái Văn Hùng,200000,5B
TH12378,Uông Thị Hoa,1500000,1A
TH12379,Vi Văn Khang,500000,1B
TH12380,Xa Thị Lan,900000,1C
TH12381,Yên Văn Minh,1100000,2A
TH12382,Zương Thị Nga,400000,2B
TH12383,An Văn Oanh,1600000,Đã đóng
TH12384,Bình Thị Phương,800000,3B
TH12385,Cường Văn Quân,1400000,4A
TH12386,Diệu Thị Rinh,300000,4B
TH12387,E Văn Sơn,1800000,5A
TH12388,Phước Thị Tâm,1000000,5B
TH12389,Giang Văn Uy,700000,1A
TH12390,Hạnh Thị Vân,1200000,1B
TH12391,Ích Văn Xuân,600000,2A
TH12392,Kim Thị Yến,1500000,2C
TH12393,Long Văn Anh,400000,3A
TH12394,My Thị Bảo,1300000,3B
