stt,ma_hs,ho_ten,so_tien,trang_thai
TH12345,Phạm Văn A,3000000,Chưa đóng
TH12346,Nguyễn Thị B,1200000,Đã đóng
TH12347,Trần Văn C,800000,Chưa đóng
TH12348,Lê Thị D,1500000,Chưa đóng
TH12349,Hoàng Văn E,300000,Chưa đóng
TH12350,Đỗ Thị F,2000000,Chưa đóng
TH12351,Vũ Văn G,900000,Chưa đóng
TH12352,Bùi Thị H,1100000,Đã đóng
TH12353,Đinh Văn I,400000,Đã đóng
TH12354,Dương Thị K,1700000,Đã đóng
TH12355,Lý Văn L,600000,Chưa đóng
TH12356,Mai Thị M,1300000,Chưa đóng
TH12357,Cao Văn N,1000000,Đã đóng
TH12358,Phan Thị O,700000,Đã đóng
TH12359,Tô Văn P,1400000,Đã đóng
TH12360,Ngô Thị Q,200000,Đã đóng
TH12361,Trịnh Văn R,1800000,Đã đóng
TH12362,Hồ Thị S,1200000,Chưa đóng
TH12363,Lương Văn T,500000,Chưa đóng
TH12364,Võ Thị U,900000,Đã đóng
TH12365,Đặng Văn V,1600000,Chưa đóng
TH12366,Bạch Thị W,300000,Đã đóng
TH12367,Chu Văn X,1100000,Chưa đóng
TH12368,Hà Thị Y,800000,Đã đóng
TH12369,Kiều Văn Z,1500000,Đã đóng
TH12370,Lâm Thị An,400000,Đã đóng
TH12371,Mạc Văn Bình,1900000,Chưa đóng
TH12372,Ninh Thị Chi,1000000,Đã đóng
TH12373,Ông Văn Dũng,600000,Đã đóng
TH12374,Phùng Thị Em,1300000,Chưa đóng
TH12375,Quách Văn Phúc,700000,Đã đóng
TH12376,Sơn Thị Giang,1200000,Đã đóng
TH12377,Thái Văn Hùng,200000,Đã đóng
TH12378,Uông Thị Hoa,1500000,Đã đóng
TH12379,Vi Văn Khang,500000,Chưa đóng
TH12380,Xa Thị Lan,900000,Đã đóng
TH12381,Yên Văn Minh,1100000,Chưa đóng
TH12382,Zương Thị Nga,400000,Đã đóng
TH12383,An Văn Oanh,1600000,Đã đóng
TH12384,Bình Thị Phương,800000,Đã đóng
TH12385,Cường Văn Quân,1400000,Đã đóng
TH12386,Diệu Thị Rinh,300000,Chưa đóng
TH12387,E Văn Sơn,1800000,Chưa đóng
TH12388,Phước Thị Tâm,1000000,Chưa đóng
TH12389,Giang Văn Uy,700000,Đã đóng
TH12390,Hạnh Thị Vân,1200000,Chưa đóng
TH12391,Ích Văn Xuân,600000,Chưa đóng
TH12392,Kim Thị Yến,1500000,Chưa đóng
TH12393,Long Văn Anh,400000,Đã đóng
TH12394,My Thị Bảo,1300000,Chưa đóng
